,Epoch,Node_ID,Node_Type,Subnet_ID,List_Type,Trust_Value,Malicious_Status,Trust_Score,Top_10_Trust
0,0,1,,1,XXXX,1,False,,
0,0,2,,2,XXXX,1,False,,
0,0,3,,3,XXXX,1,False,,
0,0,4,,4,XXXX,1,False,,
0,0,5,,1,XXXX,0,False,,
0,0,6,,1,XXXX,0,False,,
0,0,7,,1,XXXX,0,False,,
0,0,8,,1,XXXX,0,False,,
0,0,9,,2,XXXX,0,False,,
0,0,10,,2,XXXX,0,False,,
0,0,11,,2,XXXX,0,False,,
0,0,12,,2,XXXX,0,False,,
0,0,13,,3,XXXX,0,False,,
0,0,14,,3,XXXX,0,False,,
0,0,15,,3,XXXX,0,False,,
0,0,16,,3,XXXX,0,False,,
0,0,17,,4,XXXX,0,False,,
0,0,18,,4,XXXX,0,False,,
0,0,19,,4,XXXX,0,False,,
0,0,20,,4,XXXX,0,False,,
0,1,1,F,1,W,0.8,False,-0.1,True
0,1,2,F,2,W,0.9,False,0.0,True
0,1,3,F,3,W,0.8,False,-0.1,False
0,1,4,F,4,W,0.8,False,-0.1,False
0,1,5,L,1,G,-0.0,False,-0.2,False
0,1,6,L,1,G,-0.0,False,-0.2,False
0,1,7,L,1,G,0.0,False,0.1,False
0,1,8,L,1,G,0.0,False,-0.0,False
0,1,9,L,2,G,-0.0,False,-0.1,False
0,1,10,L,2,G,0.0,False,0.0,False
0,1,11,L,2,G,0.0,False,0.2,False
0,1,12,L,2,G,0.0,False,0.1,False
0,1,13,L,3,G,0.0,False,-0.0,False
0,1,14,L,3,G,0.0,False,0.1,False
0,1,15,L,3,G,-0.0,False,-0.1,False
0,1,16,L,3,G,0.0,False,0.1,False
0,1,17,L,4,G,0.0,False,0.1,False
0,1,18,L,4,G,-0.0,False,-0.2,False
0,1,19,L,4,G,-0.0,False,-0.2,False
0,1,20,L,4,G,-0.0,False,-0.1,False
0,2,1,F,1,W,0.8,False,0.1,True
0,2,2,F,2,W,0.8,False,-0.1,True
0,2,3,F,3,W,0.7,False,-0.2,False
0,2,4,F,4,W,0.8,False,0.0,False
0,2,5,L,1,G,-0.0,False,-0.1,False
0,2,6,L,1,G,0.0,False,0.1,False
0,2,7,L,1,G,0.0,False,0.3,False
0,2,8,L,1,G,0.0,False,0.1,False
0,2,9,L,2,G,0.0,False,0.3,False
0,2,10,L,2,G,-0.0,False,-0.3,False
0,2,11,L,2,G,-0.0,False,-0.3,False
0,2,12,L,2,G,0.1,False,0.4,False
0,2,13,L,3,G,0.0,False,0.1,False
0,2,14,L,3,G,0.0,False,0.2,False
0,2,15,L,3,G,0.0,False,0.0,False
0,2,16,L,3,G,-0.0,False,-0.2,False
0,2,17,L,4,G,0.0,False,0.0,False
0,2,18,L,4,G,-0.0,False,-0.1,False
0,2,19,L,4,G,0.0,False,0.3,False
0,2,20,L,4,G,0.0,False,0.0,False
0,3,1,F,1,W,0.7,False,-0.1,True
0,3,2,F,2,W,0.7,False,-0.3,True
0,3,3,F,3,W,0.7,False,0.1,False
0,3,4,F,4,W,0.8,False,0.2,False
0,3,5,L,1,G,0.0,False,0.0,False
0,3,6,L,1,G,0.0,False,0.2,False
0,3,7,L,1,G,0.0,False,0.0,False
0,3,8,L,1,G,-0.0,False,-0.2,False
0,3,9,L,2,G,0.0,False,0.3,False
0,3,10,L,2,G,0.0,False,0.1,False
0,3,11,L,2,G,-0.0,False,-0.1,False
0,3,12,L,2,G,0.1,False,0.4,False
0,3,13,L,3,G,-0.0,False,-0.1,False
0,3,14,L,3,G,0.0,False,0.0,False
0,3,15,L,3,G,0.0,False,-0.0,False
0,3,16,L,3,G,0.0,False,-0.0,False
0,3,17,L,4,G,-0.0,False,-0.1,False
